inference_index,sim_time,policy_id,cmd_x,cmd_y,cmd_yaw
356,17.540000,3,-0.151433,-1.000000,-0.000000
357,17.560000,3,-0.159215,-1.000000,-0.000000
358,17.580000,3,-0.169836,-1.000000,-0.010895
359,17.600000,3,-0.186163,-1.000000,-0.207740
360,17.620000,3,-0.211035,-1.000000,-0.413190
361,17.640000,3,-0.231727,-1.000000,-0.575701
362,17.660000,3,-0.249794,-1.000000,-0.880993
363,17.680000,3,-0.255623,-1.000000,-1.173467
364,17.700000,3,-0.257241,-1.000000,-1.500000
365,17.720000,3,-0.259651,-1.000000,-1.500000
366,17.740000,3,-0.259438,-1.000000,-1.500000
367,17.760000,3,-0.259774,-1.000000,-1.500000
368,17.780000,3,-0.259896,-1.000000,-1.500000
369,17.800000,3,-0.259896,-1.000000,-1.500000
370,17.820000,3,-0.259896,-1.000000,-1.500000
371,17.840000,3,-0.259896,-1.000000,-1.500000
372,17.860000,3,-0.259896,-1.000000,-1.500000
373,17.880000,3,-0.261452,-1.000000,-1.500000
374,17.900000,3,-0.213233,-1.000000,-1.500000
375,17.920000,3,-0.031556,-0.339640,-1.500000
376,17.940000,3,-0.000000,-0.000000,-1.500000
377,17.960000,3,-0.000000,-0.000000,-1.500000
378,17.980000,3,-0.000000,-0.000000,-1.500000
379,18.000000,3,-0.000000,-0.000000,-1.500000
380,18.020000,3,-0.000000,-0.000000,-1.500000
381,18.040000,3,-0.171575,0.025849,-1.500000
382,18.060000,3,-0.293832,0.183386,-1.500000
383,18.080000,3,-0.363536,0.490005,-1.500000
384,18.100000,3,-0.366253,0.902249,-1.422819
385,18.120000,3,-0.341197,0.996490,-1.242592
386,18.140000,3,-0.338237,0.997375,-1.001709
387,18.160000,3,-0.344066,0.995483,-0.782434
388,18.180000,3,-0.354930,0.991882,-0.625462
389,18.200000,3,-0.361309,0.989593,-0.455351
390,18.220000,3,-0.366283,0.987548,-0.204306
391,18.240000,3,-0.374950,0.984161,-0.000000
392,18.260000,3,-0.391095,0.977874,-0.000000
393,18.280000,3,-0.405377,0.971954,-0.000000
394,18.300000,3,-0.415479,0.967681,-0.000000
395,18.320000,3,-0.430494,0.961058,-0.000000
396,18.340000,3,-0.452834,0.950682,-0.000000
397,18.360000,3,-0.481521,0.936430,-0.000000
398,18.380000,3,-0.512955,0.919523,-0.000000
399,18.400000,3,-0.557939,0.892850,-0.000000
400,18.420000,3,-0.598193,0.866329,-0.000000
401,18.440000,3,-0.642750,0.833766,-0.000000
402,18.460000,3,-0.689322,0.795618,-0.000000
403,18.480000,3,-0.713889,0.773644,-0.000000
404,18.500000,3,-0.736442,0.752220,-0.000000
405,18.520000,3,-0.757805,0.730674,-0.000000
406,18.540000,3,-0.764397,0.723777,-0.000000
407,18.560000,3,-0.767876,0.720084,-0.000000
408,18.580000,3,-0.776605,0.710654,-0.000000
