inference_index,sim_time,v0000,v0001,v0002,v0003,v0004,v0005,v0006,v0007,v0008,v0009,v0010,v0011,v0012,v0013,v0014,v0015
726,12.620000,-0.556182,1.074196,-0.494058,-0.263249,0.298914,-0.866031,0.459663,1.094017,0.131754,-2.201278,1.139528,0.316595,3.450094,2.615670,3.205383,3.158569
727,12.640000,-0.582612,1.064317,-0.526045,-0.271950,0.254429,-0.863191,0.505278,1.169696,0.201590,-2.203430,1.156150,0.413445,3.431071,2.641625,3.356100,3.179547
728,12.660000,-0.634061,1.086501,-0.531956,-0.276720,0.234099,-0.928406,0.527344,1.255079,0.159658,-2.156174,1.152938,0.360161,3.531285,2.652560,3.568151,3.184083
729,12.680000,-0.620358,1.041438,-0.568771,-0.313025,0.183955,-0.901952,0.586116,1.283773,0.231430,-2.158857,1.139101,0.301024,3.485000,2.611544,3.616042,3.149746
730,12.700000,-0.654139,0.939423,-0.566770,-0.350822,0.174591,-0.972698,0.564877,1.337663,0.160122,-2.010640,1.138901,0.091524,3.524126,2.573973,3.652588,3.145201
731,12.720000,-0.630513,0.915346,-0.585549,-0.343435,0.132504,-0.916885,0.594003,1.297036,0.282039,-2.099262,1.099097,0.042085,3.311980,2.496483,3.499575,3.091335
732,12.740000,-0.606874,0.935661,-0.560941,-0.350244,0.157027,-0.891437,0.604828,1.288982,0.272344,-2.073432,1.083188,0.022955,3.241769,2.449642,3.400326,3.014632
733,12.760000,-0.568533,0.978735,-0.488378,-0.379811,0.168399,-0.908620,0.521183,1.282121,0.136514,-2.074821,1.130758,0.018355,3.270980,2.440048,3.422072,3.027993
734,12.780000,-0.561101,0.945875,-0.435140,-0.420233,0.145341,-0.900220,0.481454,1.276935,0.033189,-2.007876,1.126404,-0.075272,3.328679,2.463150,3.421503,3.067178
735,12.800000,-0.555109,0.967734,-0.374797,-0.453885,0.142713,-0.885851,0.495015,1.243075,0.090961,-2.045011,1.084640,-0.092199,3.262058,2.445107,3.387718,3.043853
736,12.820000,-0.517021,0.845705,-0.419734,-0.457346,0.106845,-0.868396,0.464200,1.177661,0.015317,-2.074926,1.064661,-0.144237,3.168042,2.435121,3.327244,2.938908
737,12.840000,-0.536591,0.826023,-0.423918,-0.487828,0.070102,-0.851539,0.424702,1.157222,-0.057147,-1.993084,1.011937,-0.252306,3.122069,2.355894,3.290025,2.838150
738,12.860000,-0.443873,0.830388,-0.332379,-0.486208,0.121266,-0.761300,0.428609,1.089676,-0.062020,-2.115672,1.001091,-0.163218,2.989799,2.331678,3.218353,2.758968
739,12.880000,-0.451119,0.801048,-0.335082,-0.539860,0.063422,-0.768395,0.377441,1.077041,-0.237283,-2.061656,0.949676,-0.213842,2.968179,2.279580,3.239116,2.631793
